téta;béta
degré;degré
0;0
-0,25;15,218605
-0,5;30,508884
-0,75;45,870756
-1;61,304145
-1,25;76,808971
-1,5;92,385154
-1,75;108,032615
-2;123,751273
-2,25;139,541048
-2,5;155,401859
-2,75;171,333624
-3;187,336262
-3,25;203,40969
-3,5;219,553827
-3,75;235,768588
-4;252,053892
-4,25;268,409653
-4,5;284,835788
-4,75;301,332213
-5;317,898842
-5,25;334,535591
-5,5;351,242373
-5,75;368,019103
-6;384,865694
-6,25;401,782059
-6,5;418,768112
-6,75;435,823764
-7;452,948928
-7,25;470,143514
-7,5;487,407436
-7,75;504,740602
-8;522,142924
-8,25;539,614312
-8,5;557,154675
-8,75;574,763923
-9;592,441964
-9,25;610,188708
-9,5;628,004061
-9,75;645,887933
-10;663,84023
-10,25;681,860858
-10,5;699,949726
-10,75;718,106738
-11;736,331801
-11,25;754,62482
-11,5;772,9857
-11,75;791,414345
-12;809,91066
-12,25;828,474549
-12,5;847,105914
-12,75;865,804659
-13;884,570687
-13,25;903,403899
-13,5;922,304198
-13,75;941,271485
-14;960,305661
-14,25;979,406626
-14,5;998,574282
-14,75;1017,808527
-15;1037,109261
-15,25;1056,476384
-15,5;1075,909794
-15,75;1095,409388
-16;1114,975066
-16,25;1134,606725
-16,5;1154,304261
-16,75;1174,067571
-17;1193,896552
-17,25;1213,791099
-17,5;1233,751109
-17,75;1253,776475
-18;1273,867093
-18,25;1294,022857
-18,5;1314,243661
-18,75;1334,529399
-19;1354,879963
-19,25;1375,295246
-19,5;1395,77514
-19,75;1416,319538
-20;1436,92833
-20,25;1457,601409
-20,5;1478,338663
-20,75;1499,139985
-21;1520,005263
-21,25;1540,934387
-21,5;1561,927247
-21,75;1582,98373
-22;1604,103725
-22,25;1625,28712
-22,5;1646,533802
-22,75;1667,843659
-23;1689,216576
-23,25;1710,65244
-23,5;1732,151137
-23,75;1753,712552
-24;1775,336571
-24,25;1797,023077
-24,5;1818,771954
-24,75;1840,583087
-25;1862,456359
-25,25;1884,391653
-25,5;1906,388851
-25,75;1928,447835
-26;1950,568487
-26,25;1972,750687
-26,5;1994,994318
-26,75;2017,299259
-27;2039,665389
-27,25;2062,09259
-27,5;2084,580739
-27,75;2107,129716
-28;2129,739398
-28,25;2152,409664
-28,5;2175,140391
-28,75;2197,931455
-29;2220,782735
-29,25;2243,694104
-29,5;2266,66544
-29,75;2289,696618
-30;2312,787511
-30,25;2335,937996
-30,5;2359,147945
-30,75;2382,417232
-31;2405,745731
-31,25;2429,133313
-31,5;2452,579851
-31,75;2476,085217
-32;2499,649283
-32,25;2523,271918
-32,5;2546,952994
-32,75;2570,69238
-33;2594,489946
-33,25;2618,345562
-33,5;2642,259094
-33,75;2666,230413
-34;2690,259385
-34,25;2714,345878
